newspaper,league,date,url
The Washington tribune. [volume],eastern colored league,1925-04-04,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-04-04/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-09-06,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-09-06/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-05-09,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-05-09/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-03-21,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-03-21/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-06-24,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-06-24/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1924-06-07,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-06-07/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-04-26,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-04-26/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-05-24,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-05-24/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-10-11,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-10-11/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-07-05,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-07-05/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-09-13,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-09-13/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-03-08,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-03-08/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-05-10,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-05-10/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-05-13,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-05-13/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1924-09-27,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-09-27/ed-1/seq-5.pdf
Richmond planet. [volume],eastern colored league,1923-06-30,https://chroniclingamerica.loc.gov/lccn/sn84025841/1923-06-30/ed-1/seq-2.pdf
The Washington tribune. [volume],eastern colored league,1924-06-21,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-06-21/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-04-25,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-04-25/ed-1/seq-4.pdf
Ventnor news.,eastern colored league,1923-09-12,https://chroniclingamerica.loc.gov/lccn/sn92059905/1923-09-12/ed-1/seq-23.pdf
The Washington times. [volume],eastern colored league,1924-06-07,https://chroniclingamerica.loc.gov/lccn/sn84026749/1924-06-07/ed-1/seq-18.pdf
The Washington tribune. [volume],eastern colored league,1925-04-04,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-04-04/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-09-06,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-09-06/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-05-09,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-05-09/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1925-03-21,https://chroniclingamerica.loc.gov/lccn/sn87062236/1925-03-21/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1927-06-24,https://chroniclingamerica.loc.gov/lccn/sn87062236/1927-06-24/ed-1/seq-7.pdf
The Washington tribune. [volume],eastern colored league,1924-06-07,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-06-07/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-04-26,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-04-26/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-05-24,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-05-24/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-10-11,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-10-11/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-07-05,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-07-05/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-09-13,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-09-13/ed-1/seq-4.pdf
The Washington tribune. [volume],eastern colored league,1924-03-08,https://chroniclingamerica.loc.gov/lccn/sn87062236/1924-03-08/ed-1/seq-4.pdf
