"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Peralta, David","444482","2024","260",20.8,8.5,".329",".314",36.8,5.5,42.3,"99.478011319","93.91992022",28.1,50.9
"Blackmon, Charlie","453568","2024","499",17.2,8.6,".323",".307",34.1,5.2,27.2,"96.083583591","92.106050111",19.2,48
"Maldonado, Martín","455117","2024","147",34.7,5.4,".181",".223",29.9,8,35.6,"98.499170952","93.412792619",36.1,49.3
"Solano, Donovan","456781","2024","309",21,7.1,".333",".310",37,3.7,37.4,"98.057695046","93.167454908",23.5,47.2
"McCutchen, Andrew","457705","2024","515",25.8,11.3,".325",".331",31.5,11.7,36.7,"99.420601139","93.81124019",28.9,42
"Turner, Justin","457759","2024","539",17.6,10.9,".327",".330",40.1,4.6,32.5,"96.702342312","92.434680753",17,45.4
"Santana, Carlos","467793","2024","594",16.7,10.9,".326",".330",30.9,7.3,39.9,"99.506124387","94.004167778",23.3,43.3
"Rojas, Miguel","500743","2024","337",10.1,6.8,".327",".314",33.2,2.5,27.8,"96.317826471","92.174445609",13.9,46.5
"Pham, Tommy","502054","2024","478",22.2,7.3,".297",".323",32.2,7.2,42.7,"101.105935449","94.883209671",22.5,40.5
"Martinez, J.D.","502110","2024","495",28.5,9.9,".318",".356",39.3,14.9,46.1,"101.443240544","95.173257041",31.5,48.5
"Goldschmidt, Paul","502671","2024","654",26.5,7.2,".310",".333",34.3,10.7,49.6,"101.892583709","95.666428146",27.4,47.7
"Altuve, Jose","514888","2024","682",17.4,6.9,".344",".318",35.4,6.5,31.2,"97.323672581","92.693762581",21.9,51.5
"Marte, Starling","516782","2024","370",21.9,7.3,".313",".338",37.1,6.9,42.9,"101.20205624","94.944189",28.1,50.2
"d'Arnaud, Travis","518595","2024","341",26.1,7,".319",".323",32.9,10.4,41,"100.537202273","94.672343091",32.8,50.7
"Freeman, Freddie","518692","2024","638",15.7,12.2,".365",".370",43.1,9.1,41.8,"100.349133067","94.527301044",20.2,49.4
"Grandal, Yasmani","518735","2024","243",18.9,9.9,".308",".327",31.8,9.8,42.8,"100.246108353","94.442007765",20.1,40.9
"Heyward, Jason","518792","2024","258",20.5,8.5,".300",".290",29.8,5.6,41.6,"99.992543146","94.178780339",24,49.6
"LeMahieu, DJ","518934","2024","228",15.4,8.3,".239",".302",31.8,5.8,37.6,"98.271498488","93.240584302",17.5,44.6
"Rizzo, Anthony","519203","2024","375",17.3,7.2,".285",".296",31,4,33.2,"97.798203577","92.909990255",19.3,49.1
"Stanton, Giancarlo","519317","2024","459",31.2,8.3,".330",".355",34.8,20.7,55.3,"108.185328759","99.180033333",34.4,46.8
"Perez, Salvador","521692","2024","652",19.8,6.7,".335",".362",39.4,12.2,44.8,"101.856275647","95.341857371",27.8,57.8
"Flores, Wilmer","527038","2024","242",13.6,8.3,".262",".286",36.6,5.9,27.6,"95.484386989","91.787573297",13.9,43.9
"Bethancourt, Christian","542194","2024","147",24.5,3.4,".263",".274",25.7,7.6,41.9,"100.460386122","94.266459184",31.2,61.4
"Ozuna, Marcell","542303","2024","688",24.7,10.8,".395",".405",40.2,15.5,53.5,"103.370699452","96.509068973",31.4,46.8
"Grossman, Robbie","543257","2024","245",23.7,13.9,".283",".290",30.3,3.3,27.6,"96.108367632","92.054845855",22.7,36.3
"Higashioka, Kyle","543309","2024","263",28.1,5.7,".314",".301",40.2,10.9,37.4,"99.356005116","93.902030409",25.2,46.4
"McCann, James","543510","2024","233",24,5.6,".288",".315",38.9,8.6,37.7,"99.207987625","93.644913774",27.4,52.1
"Rendon, Anthony","543685","2024","238",14.7,9.7,".264",".289",31.4,2.3,37.1,"97.612997471","92.991806897",12.5,40.1
"Semien, Marcus","543760","2024","718",14.6,8.9,".306",".319",33,6.6,35.2,"97.806210919","93.005121934",20.2,50
"Springer III, George","543807","2024","614",18.7,9.8,".298",".324",29.2,9.3,37.4,"99.896868","94.046929394",25.3,49.1
"Vázquez, Christian","543877","2024","315",20.6,3.5,".250",".269",36.1,3.8,36.6,"98.036944138","93.213200991",20.8,51.7
"Vargas, Ildemaro","545121","2024","303",10.2,6.3,".271",".278",29.5,1.2,31.9,"97.073438667","92.579283167",12.4,46.4
"Grichuk, Randal","545341","2024","279",16.5,7.2,".373",".368",34.3,11,47.6,"102.436633714","95.601048095",20.4,47.3
"Trout, Mike","545361","2024","126",21.4,12.7,".365",".406",40.2,17.1,41.5,"101.782849756","94.924062683",20.5,42.5
"Harper, Bryce","547180","2024","631",21.9,12,".380",".361",36.1,10.6,48.2,"102.531835097","95.63882949",26.6,52.9
"Abreu, José","547989","2024","120",23.3,3.3,".164",".199",26.7,2.3,33.7,"98.240018605","93.123486279",29.7,51.2
"Díaz, Elias","553869","2024","351",19.7,5.7,".303",".280",31,4.7,34.5,"99.032119063","93.543152344",27.8,53.8
"Suárez, Eugenio","553993","2024","640",27.5,7.7,".337",".332",40.4,11.3,42.4,"100.570552315","94.463438988",29.1,47.2
"Urshela, Gio","570482","2024","461",15.6,5,".281",".302",38.6,4.9,28.4,"96.696776409","92.394270526",20.3,54.6
"Arenado, Nolan","571448","2024","635",14.5,6.9,".314",".297",35.9,3.2,31.6,"96.924147927","92.483246402",17.2,46.8
"Farmer, Kyle","571657","2024","242",20.2,7.9,".285",".295",36.3,5.4,29.8,"97.025598571","92.547452202",22,48.5
"Haniger, Mitch","571745","2024","423",29.8,9.5,".277",".294",31,9,45.9,"101.021551732","95.105264331",32.3,44
"Hernández, Enrique","571771","2024","393",19.6,6.9,".285",".285",36,4.8,41.5,"99.326670699","93.89398972",22.9,48.9
"Maile, Luke","571912","2024","154",33.8,8.4,".241",".240",37.6,3.5,24.7,"95.22202881","91.660711687",28.8,45.2
"Muncy, Max","571970","2024","293",26.3,15.4,".362",".353",32.5,10.8,43.4,"100.775015181","94.752278735",31,40.6
"Singleton, Jon","572138","2024","405",27.4,11.6,".312",".310",34.8,8.9,37.2,"99.784248293","93.99841",30.1,40.7
