newspaper,league,date,url
Postscript of the Apache sentinel. [volume],negro national league,1945-09-28,https://chroniclingamerica.loc.gov/lccn/sn95060817/1945-09-28/ed-1/seq-7.pdf
The Michigan chronicle. [volume],negro national league,1943-05-08,https://chroniclingamerica.loc.gov/lccn/sn83045324/1943-05-08/ed-1/seq-20.pdf
The Chicago whip.,negro national league,1921-04-23,https://chroniclingamerica.loc.gov/lccn/sn86056950/1921-04-23/ed-1/seq-7.pdf
The daily bulletin. [volume],negro national league,1945-04-17,https://chroniclingamerica.loc.gov/lccn/sn84024221/1945-04-17/ed-1/seq-4.pdf
The Ohio daily-express.,negro national league,1948-06-28,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-06-28/ed-1/seq-1.pdf
The Ohio daily-express.,negro national league,1948-02-27,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-02-27/ed-1/seq-4.pdf
The Ohio daily-express.,negro national league,1949-04-21,https://chroniclingamerica.loc.gov/lccn/sn88077226/1949-04-21/ed-1/seq-2.pdf
Hartford chronicle.,negro national league,1946-09-14,https://chroniclingamerica.loc.gov/lccn/sn92051342/1946-09-14/ed-1/seq-7.pdf
The Ohio daily-express.,negro national league,1950-06-20,https://chroniclingamerica.loc.gov/lccn/sn88077226/1950-06-20/ed-1/seq-2.pdf
The daily bulletin. [volume],negro national league,1946-07-11,https://chroniclingamerica.loc.gov/lccn/sn84024221/1946-07-11/ed-1/seq-1.pdf
The voice. [volume],negro national league,1948-03-04,https://chroniclingamerica.loc.gov/lccn/2019270505/1948-03-04/ed-1/seq-2.pdf
The northwestern bulletin. [volume],negro national league,1922-07-15,https://chroniclingamerica.loc.gov/lccn/sn90060931/1922-07-15/ed-1/seq-4.pdf
The Michigan chronicle. [volume],negro national league,1944-08-26,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-08-26/ed-1/seq-15.pdf
The Ohio daily-express.,negro national league,1948-04-21,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-04-21/ed-1/seq-2.pdf
The powder keg. [volume],negro national league,1945-05-04,https://chroniclingamerica.loc.gov/lccn/2023271000/1945-05-04/ed-1/seq-6.pdf
Arizona sun. [volume],negro national league,1949-06-17,https://chroniclingamerica.loc.gov/lccn/sn84021917/1949-06-17/ed-1/seq-6.pdf
Arizona sun. [volume],negro national league,1949-06-24,https://chroniclingamerica.loc.gov/lccn/sn84021917/1949-06-24/ed-1/seq-6.pdf
The Detroit tribune.,negro national league,1939-10-21,https://chroniclingamerica.loc.gov/lccn/sn92063852/1939-10-21/ed-1/seq-7.pdf
The Detroit tribune.,negro national league,1942-05-02,https://chroniclingamerica.loc.gov/lccn/sn92063852/1942-05-02/ed-1/seq-7.pdf
The Detroit tribune.,negro national league,1942-06-06,https://chroniclingamerica.loc.gov/lccn/sn92063852/1942-06-06/ed-1/seq-11.pdf
Postscript of the Apache sentinel. [volume],negro national league,1945-09-28,https://chroniclingamerica.loc.gov/lccn/sn95060817/1945-09-28/ed-1/seq-7.pdf
The Michigan chronicle. [volume],negro national league,1943-05-08,https://chroniclingamerica.loc.gov/lccn/sn83045324/1943-05-08/ed-1/seq-20.pdf
The Chicago whip.,negro national league,1921-04-23,https://chroniclingamerica.loc.gov/lccn/sn86056950/1921-04-23/ed-1/seq-7.pdf
The daily bulletin. [volume],negro national league,1945-04-17,https://chroniclingamerica.loc.gov/lccn/sn84024221/1945-04-17/ed-1/seq-4.pdf
The Ohio daily-express.,negro national league,1948-06-28,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-06-28/ed-1/seq-1.pdf
The Ohio daily-express.,negro national league,1948-02-27,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-02-27/ed-1/seq-4.pdf
The Ohio daily-express.,negro national league,1949-04-21,https://chroniclingamerica.loc.gov/lccn/sn88077226/1949-04-21/ed-1/seq-2.pdf
Hartford chronicle.,negro national league,1946-09-14,https://chroniclingamerica.loc.gov/lccn/sn92051342/1946-09-14/ed-1/seq-7.pdf
The Ohio daily-express.,negro national league,1950-06-20,https://chroniclingamerica.loc.gov/lccn/sn88077226/1950-06-20/ed-1/seq-2.pdf
The daily bulletin. [volume],negro national league,1946-07-11,https://chroniclingamerica.loc.gov/lccn/sn84024221/1946-07-11/ed-1/seq-1.pdf
The voice. [volume],negro national league,1948-03-04,https://chroniclingamerica.loc.gov/lccn/2019270505/1948-03-04/ed-1/seq-2.pdf
The northwestern bulletin. [volume],negro national league,1922-07-15,https://chroniclingamerica.loc.gov/lccn/sn90060931/1922-07-15/ed-1/seq-4.pdf
The Michigan chronicle. [volume],negro national league,1944-08-26,https://chroniclingamerica.loc.gov/lccn/sn83045324/1944-08-26/ed-1/seq-15.pdf
The Ohio daily-express.,negro national league,1948-04-21,https://chroniclingamerica.loc.gov/lccn/sn88077226/1948-04-21/ed-1/seq-2.pdf
The powder keg. [volume],negro national league,1945-05-04,https://chroniclingamerica.loc.gov/lccn/2023271000/1945-05-04/ed-1/seq-6.pdf
