newspaper,league,date,url
The evening times. [volume],players league,1910-10-01,https://chroniclingamerica.loc.gov/lccn/sn85042373/1910-10-01/ed-1/seq-7.pdf
The Salt Lake herald. [volume],players league,1890-11-22,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-11-22/ed-1/seq-6.pdf
The Salt Lake herald. [volume],players league,1890-11-27,https://chroniclingamerica.loc.gov/lccn/sn85058130/1890-11-27/ed-1/seq-2.pdf
Evening star. [volume],players league,1957-12-08,https://chroniclingamerica.loc.gov/lccn/sn83045462/1957-12-08/ed-1/seq-215.pdf
The Detroit times. [volume],players league,1914-12-08,https://chroniclingamerica.loc.gov/lccn/sn83016689/1914-12-08/ed-2/seq-6.pdf
The Lake County times. [volume],players league,1910-09-30,https://chroniclingamerica.loc.gov/lccn/sn86058242/1910-09-30/ed-1/seq-10.pdf
El Paso herald.,players league,1914-06-08,https://chroniclingamerica.loc.gov/lccn/sn88084272/1914-06-08/ed-1/seq-8.pdf
The Cheyenne daily leader. [volume],players league,1890-11-16,https://chroniclingamerica.loc.gov/lccn/sn86072173/1890-11-16/ed-1/seq-3.pdf
Chicago eagle. [volume],players league,1890-05-31,https://chroniclingamerica.loc.gov/lccn/sn84025828/1890-05-31/ed-1/seq-5.pdf
Bismarck weekly tribune. [volume],players league,1890-08-08,https://chroniclingamerica.loc.gov/lccn/sn85042588/1890-08-08/ed-1/seq-3.pdf
The Daily Alaska empire. [volume],players league,1935-05-18,https://chroniclingamerica.loc.gov/lccn/sn83045499/1935-05-18/ed-1/seq-7.pdf
St. Paul daily globe. [volume],players league,1890-10-22,https://chroniclingamerica.loc.gov/lccn/sn90059522/1890-10-22/ed-1/seq-5.pdf
The Milwaukee leader. [volume],players league,1914-12-04,https://chroniclingamerica.loc.gov/lccn/sn83045293/1914-12-04/ed-1/seq-10.pdf
The Detroit times. [volume],players league,1914-12-08,https://chroniclingamerica.loc.gov/lccn/sn83016689/1914-12-08/ed-1/seq-6.pdf
