Year,League,Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
1930,NNL,Birmingham Black Barons,30,23.9,4.81,74,2563,2400,356,682,82,55,29,317,76.0,,163,,0.284,0.33,.400,0.73,97,961,,0.0,,,,
1930,NNL,Chicago American Giants,34,28.8,4.35,81,2862,2618,352,694,89,35,15,312,31.0,,241,,0.265,0.328,.343,0.671,82,898,,3.0,,,,
1930,NNL,Cuban Stars West,14,23.9,4.38,48,1731,1575,210,372,43,22,21,189,36.0,,152,,0.236,0.305,.331,0.636,72,522,,4.0,,,,
1930,NNL,Detroit Stars,19,27.4,5.18,72,2557,2364,373,640,103,57,25,339,61.0,,193,,0.271,0.326,.394,0.72,94,932,,0.0,,,,
1930,NNL,Kansas City Monarchs,18,28.2,5.78,67,2524,2285,387,644,120,38,23,339,75.0,,235,,0.282,0.35,.398,0.748,102,909,,4.0,,,,
1930,NNL,Louisville Black Caps,21,22.0,3.74,23,816,756,86,172,24,11,6,71,9.0,,58,,0.228,0.284,.312,0.596,61,236,,2.0,,,,
1930,NNL,Memphis Red Sox,36,25.5,4.77,71,2555,2387,339,664,107,39,13,309,42.0,,167,,0.278,0.326,.372,0.698,88,888,,1.0,,,,
1930,NNL,Nashville Elite Giants,30,22.8,4.02,46,1617,1511,185,384,56,25,13,172,21.0,,106,,0.254,0.303,.350,0.653,76,529,,0.0,,,,
1930,NNL,St. Louis Stars,19,28.1,7.83,93,3611,3256,728,1045,161,49,76,665,82.0,,345,,0.321,0.388,.471,0.858,131,1532,,10.0,,,,
1925,NNL,Indianapolis ABCs,35,22.7,4.58,57,2072,1919,261,482,59,28,21,242,37.0,,153,222.0,0.251,0.306,.344,0.65,74,660,,,,,,
1925,NNL,Birmingham Black Barons,31,26.8,4.95,76,2805,2647,376,710,92,42,33,353,61.0,,158,265.0,0.268,0.309,.372,0.682,82,985,,,,,,
1925,NNL,Chicago American Giants,31,28.8,4.45,89,3120,2834,396,683,99,31,20,353,59.0,,286,292.0,0.241,0.311,.319,0.63,70,904,,,,,,
1925,NNL,Cuban Stars West,17,23.5,5.67,43,1673,1530,244,402,71,20,19,224,34.0,,143,190.0,0.263,0.326,.373,0.698,87,570,,,,,,
1925,NNL,Detroit Stars,25,23.1,6.61,95,3590,3277,628,945,146,70,83,604,128.0,,313,330.0,0.288,0.35,.452,0.802,114,1480,,,,,,
1925,NNL,Kansas City Monarchs,18,28.4,5.59,80,2959,2701,447,762,116,68,20,439,79.0,,258,303.0,0.282,0.345,.398,0.742,99,1074,,,,,,
1925,NNL,Memphis Red Sox,20,21.1,4.36,76,2737,2540,331,635,95,37,19,305,61.0,,197,247.0,0.25,0.304,.339,0.643,73,861,,,,,,
1925,NNL,St. Louis Stars,26,22.6,7.09,87,3372,3027,617,956,187,55,87,557,116.0,,345,338.0,0.316,0.386,.500,0.886,136,1514,,,,,,
1925,ECL,Atlantic City Bacharach Giants,25,28.4,4.84,73,2673,2447,353,663,64,24,28,324,54.0,,226,271.0,0.271,0.333,.351,0.684,77,859,,,,,,
1925,ECL,Baltimore Black Sox,23,24.9,5.11,65,2325,2143,332,621,105,20,35,299,61.0,,182,196.0,0.29,0.345,.406,0.752,94,871,,,,,,
1925,ECL,Brooklyn Royal Giants,15,27.2,5.2,35,1252,1175,182,322,38,5,29,169,14.0,,77,128.0,0.274,0.319,.389,0.708,82,457,,,,,,
1925,ECL,Cuban Stars East,16,28.1,5.02,45,1687,1527,226,401,56,17,17,179,21.0,,160,164.0,0.263,0.333,.355,0.687,78,542,,,,,,
1925,ECL,Harrisburg Giants,20,26.4,6.77,73,2784,2559,494,813,113,32,65,449,73.0,,225,223.0,0.318,0.373,.463,0.836,115,1185,,,,,,
1925,ECL,Hilldale Club,18,28.7,6.51,71,2564,2348,462,731,138,42,38,400,116.0,,216,174.0,0.311,0.369,.454,0.824,112,1067,,,,,,
1925,ECL,New York Lincoln Giants,35,25.7,4.55,49,1816,1662,223,449,65,10,35,206,35.0,,154,229.0,0.27,0.332,.384,0.717,85,639,,,,,,
1925,ECL,Wilmington Potomacs,22,24.8,5.25,32,1148,1041,168,309,42,9,18,131,33.0,,107,131.0,0.297,0.362,.406,0.769,99,423,,,,,,
1920,NNL,Indianapolis ABCs,31,26.1,4.53,95,3564,3125,430,806,97,41,13,346,78.0,,290,403.0,0.258,0.324,.328,0.651,94,1024,,13.0,136.0,,,
1920,NNL,Chicago American Giants,23,26.9,4.99,67,2469,2119,334,539,75,28,4,293,59.0,,240,305.0,0.254,0.335,.322,0.657,96,682,,18.0,92.0,,,
1920,NNL,Chicago Giants,23,24.0,3.5,40,1507,1331,140,312,40,14,5,120,20.0,,112,200.0,0.234,0.3,.297,0.597,78,395,,13.0,51.0,,,
1920,NNL,Cuban Stars West,13,24.8,4.67,61,2339,2055,285,512,66,18,9,229,66.0,,186,238.0,0.249,0.318,.312,0.629,88,641,,20.0,78.0,,,
1920,NNL,Dayton Marcos,25,26.9,3.79,42,1571,1405,159,328,42,16,3,129,49.0,,109,210.0,0.233,0.296,.293,0.588,75,411,,15.0,42.0,,,
1920,NNL,Detroit Stars,25,25.5,5.0,64,2423,2095,320,534,93,23,28,275,50.0,,234,260.0,0.255,0.334,.361,0.695,107,757,,15.0,79.0,,,
1920,NNL,Kansas City Monarchs,26,24.9,5.05,78,3039,2688,394,742,113,39,20,325,98.0,,206,308.0,0.276,0.331,.369,0.7,109,993,,15.0,130.0,,,
1920,NNL,St. Louis Giants,29,27.9,3.9,67,2489,2175,261,544,69,16,9,216,80.0,,179,302.0,0.25,0.322,.309,0.631,88,672,,51.0,84.0,,,
1915,FL,Baltimore Terrapins,39,28.7,3.57,154,5754,5060,550,1235,196,53,36,465,128.0,,470,619.0,0.244,0.313,.325,0.638,85,1645,,37.0,178.0,,,1022.0
